Trans. Date,Post Date,Description,Amount,Category
10/25/19,10/25/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,16.52,Restaurants
10/27/19,10/27/19,USA*VALLEY VENDING SPOKANE WAAPPLE PAY ENDING IN 1786TD366420-1572151154,2,Restaurants
10/29/19,10/29/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,19.85,Restaurants
10/30/19,10/30/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,16.52,Restaurants
11/3/19,11/3/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,15.54,Restaurants
11/7/19,11/7/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,16.39,Restaurants
11/7/19,11/7/19,INTERNET PAYMENT - THANK YOU,-286.1,Payments and Credits
11/9/19,11/9/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,27.58,Restaurants
11/10/19,11/10/19,PAYPAL *EBAY DIGO DEALS 402-935-7733 CA,32.67,Services
11/11/19,11/11/19,247SPORTS 888-508-3055 CA,1,Merchandise
11/11/19,11/11/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,19.76,Restaurants
11/13/19,11/13/19,GOLDEN CORRAL 0710 SPOKANE WA,19.91,Restaurants
11/17/19,11/17/19,BIG TEN NETWORK 407-936-0560 NY,14.95,Merchandise
11/18/19,11/18/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,18.31,Restaurants
11/19/19,11/20/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,17.38,Restaurants
11/20/19,11/20/19,AMZN MKTP US*K56LL5PR3 AMZN.COM/BILLWA6Q2ANI9UVIN,16.28,Merchandise
11/21/19,11/21/19,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,14.95,Merchandise
11/21/19,11/21/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,20.54,Restaurants
11/23/19,11/23/19,MICROSOFT XBOX REDMOND WA,1,Services
11/23/19,11/23/19,MICROSOFT XBOX REDMOND WA,1.99,Services
11/27/19,11/27/19,BATSONS CORNER STORE EAGLE CO,1.71,Merchandise
11/27/19,11/27/19,MCDONALD'S F28832 AVON CO,22.08,Restaurants
11/27/19,11/27/19,WAL-MART SC - #1199 AVON CO,25.06,Merchandise
12/1/19,12/1/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,17.81,Restaurants
12/1/19,12/1/19,UNITED AIRLINES 18004214655 TX,2.99,Travel/ Entertainment
12/3/19,12/3/19,DOORDASH DASHPASS 650-681-9470 CAAPPLE PAY ENDING IN 0296,9.99,Restaurants
12/5/19,12/5/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,20.67,Restaurants
12/8/19,12/8/19,RIOTGAM*LOL LN95G7914L 866-373-9211 CALN95G7914LZ6,38.12,Merchandise
12/9/19,12/9/19,POSTMATES 0860B BLAZE 877-887-7815 CAAPPLE PAY ENDING IN 0296,19.25,Restaurants
12/12/19,12/12/19,BHN*GIFTCARDS 877-944-3822 CABHN*GIFTCARDS,15.95,Services
12/12/19,12/12/19,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,20.06,Restaurants
12/13/19,12/13/19,PAYPAL *STEAM GAMES 402-935-7733 CA,39.99,Merchandise
12/14/19,12/14/19,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-150.57,Payments and Credits
12/17/19,12/17/19,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise
12/17/19,12/17/19,PAYPAL *STEAM GAMES 402-935-7733 CA,43.97,Merchandise
12/18/19,12/18/19,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise
12/18/19,12/18/19,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise
12/18/19,12/20/19,PAYPAL *STEAM GAMES 402-935-7733 CA,39.2,Merchandise
12/21/19,12/21/19,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,14.95,Merchandise
12/27/19,12/27/19,PAYPAL *STEAM GAMES 402-935-7733 CA,0.85,Merchandise
12/27/19,12/27/19,WPY*GOFUNDME 866-819-1294 CA519991202,7.5,Services
12/27/19,12/27/19,WPY*WANOGAS FAMILY 866-819-1294 TX519991189,75,Services
12/28/19,12/28/19,PAYPAL *STEAM GAMES 402-935-7733 CA,10,Merchandise
12/31/19,12/31/19,INTERNET PAYMENT - THANK YOU,-512.29,Payments and Credits
1/2/20,1/2/20,AMAZON.COM*BP2587O83 AMZN.COM/BILLWA556PH9JRT8H,43.58,Merchandise
1/3/20,1/3/20,PAYPAL *AMZGAMECOLI 402-935-7733 CA,11.59,Merchandise
1/5/20,1/5/20,PAYPAL *STEAM GAMES 402-935-7733 CA,7.57,Merchandise
1/5/20,1/5/20,RIOTGAM*LOL LN0K08QDPZ 866-373-9211 CALN0K08QDPZ25,5.22,Merchandise
1/12/20,1/12/20,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,31.87,Restaurants
1/13/20,1/13/20,BEST BUY 00003558295 SPOKANE WAAPPLE PAY ENDING IN 0296,27.21,Merchandise
1/13/20,1/13/20,POSTMATES 0860B BLAZE 877-887-7815 CAAPPLE PAY ENDING IN 0296,20.73,Restaurants
1/13/20,1/13/20,REG NORTHTOWN 12 0883 SPOKANE WA,11.54,Travel/ Entertainment
1/17/20,1/17/20,RIOTGAM*LOL LN0E2D7RFB 866-373-9211 CALN0E2D7RFBQ0,21.78,Merchandise
1/18/20,1/18/20,SUBWAY 00543611255 SPOKANE WA,3.8,Restaurants
1/19/20,1/20/20,AMAZON.COM*B18MM9R93 AMZN.COM/BILLWA5HLFL8EX27S,4.24,Merchandise
1/19/20,1/20/20,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,22.79,Restaurants
1/20/20,1/20/20,NIKE INC. SPOKANE WA,56.57,Merchandise
1/21/20,1/21/20,AMZN MKTP US*LU86I0JD3 AMZN.COM/BILLWA51HFP1SCMHM,57.05,Merchandise
1/21/20,1/21/20,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,4.95,Merchandise
1/22/20,1/22/20,AMAZON.COM*YR6XB3JG3 AMZN.COM/BILLWA6CXUV3IKKAX,4.24,Merchandise
1/22/20,1/22/20,SAFEWAY #3255 SPOKANE WA,63.73,Supermarkets
1/23/20,1/23/20,AMAZON.COM*843WH3UV3 AMZN.COM/BILLWA470E6L92HIN,25.04,Merchandise
1/23/20,1/23/20,SUBWAY 00543611255 SPOKANE WA,5.48,Restaurants
1/27/20,1/27/20,AMZN MKTP US*NO9RB7F63 AMZN.COM/BILLWA6UBY7J3JPFL,40.28,Merchandise
1/27/20,1/27/20,SAFEWAY #3255 SPOKANE WA,20.91,Supermarkets
1/29/20,1/29/20,CHIPOTLE 1544 SPOKANE WA,8.98,Restaurants
1/30/20,1/30/20,AMAZON.COM*4U6A24Q23 AMZN.COM/BILLWA5EELQ6ZAQOE,11.31,Merchandise
1/31/20,1/31/20,PP*DUTCHBRO109 SAN JOSE CA,6.4,Restaurants
1/31/20,1/31/20,ZIPS DRIVE IN DIVISION SPOKANE WA,8.17,Restaurants
2/2/20,2/2/20,AMAZON.COM*9D2S10QG3 AMZN.COM/BILLWAB14UD939UDC,11.31,Merchandise
2/2/20,2/2/20,MCDONALD'S F7113 SPOKANE WA,7.17,Restaurants
2/2/20,2/2/20,WINGSTOP - 0728 SPOKANE WA,113.04,Restaurants
2/2/20,2/3/20,AMAZON.COM AMZN.COM/BILLWA13S434ETV7E,-11.31,Payments and Credits
2/3/20,2/3/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 0296,32.77,Supermarkets
2/6/20,2/6/20,SAFEWAY #3255 SPOKANE WAAPPLE PAY ENDING IN 1786,26.69,Supermarkets
2/7/20,2/7/20,REG NORTHTOWN 12 0883 SPOKANE WA,11.54,Travel/ Entertainment
2/8/20,2/8/20,AMAZON.COM*YR3KH9B33 AMZN.COM/BILLWA74HY4CBTRV1,7.98,Merchandise
2/8/20,2/8/20,DENNY'S #9273 SPOKANE WA,7.43,Restaurants
2/8/20,2/8/20,DENNY'S #9273 SPOKANE WA,20.52,Restaurants
2/9/20,2/9/20,DICKS SPORTING GOODS1075 SPOKANE VALLEWA,4.28,Merchandise
2/14/20,2/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-184.89,Payments and Credits
2/15/20,2/15/20,DOORDASH*MCDONALDS 650-681-9470 CAAPPLE PAY ENDING IN 0296,19.25,Restaurants
2/16/20,2/16/20,POSTMATES 0860B BLAZE 877-887-7815 CAAPPLE PAY ENDING IN 0296,20.73,Restaurants
2/20/20,2/20/20,INTERNET PAYMENT - THANK YOU,-611.54,Payments and Credits
2/21/20,2/21/20,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,14.95,Merchandise
2/21/20,2/21/20,DHGATE.COM HONG KONG HKG,38.25,Merchandise
2/21/20,2/21/20,SUBWAY 00543611255 SPOKANE WA,9.01,Restaurants
2/22/20,2/22/20,5GUYS 1413 QSR SPOKANE WA,15.59,Restaurants
2/22/20,2/22/20,DOORDASH*EZELLS FAMOUS 650-681-9470 CAAPPLE PAY ENDING IN 0296,18.51,Restaurants
2/22/20,2/22/20,TARGET SPOKANE WA,20.46,Supermarkets
2/25/20,2/25/20,RIOTGAM*LOL LN053Z285Q 866-373-9211 CALN053Z285QTP,10.89,Merchandise
3/5/20,3/5/20,RIOTGAM*LOL LN03F3JX4R 866-373-9211 CALN03F3JX4RHZ,10.89,Merchandise
3/6/20,3/6/20,OLIVE GARDE00018515140 SPOKANE WAAPPLE PAY ENDING IN 1786,16.96,Restaurants
3/6/20,3/6/20,RIOTGAM*LOL LN0BGG4WCA 866-373-9211 CALN0BGG4WCAJH,21.78,Merchandise
3/11/20,3/11/20,PAYPAL *RIOT GAMES INC. 402-935-7733 CA,10.88,Travel/ Entertainment
3/15/20,3/15/20,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise
3/18/20,3/18/20,AMZN MKTP US*930PO3HG3 AMZN.COM/BILLWAUCMJ12CQWP0,33.52,Merchandise
3/19/20,3/19/20,RIOTGAM*LOL LN05TTLY5F 866-373-9211 CALN05TTLY5FRH,21.78,Merchandise
3/20/20,3/20/20,AMZN MKTP US*3Z02K89I3 AMZN.COM/BILLWA3UVSZ377TDQ,19.51,Merchandise
3/21/20,3/21/20,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,14.95,Merchandise
3/26/20,3/26/20,PAYPAL *NINTENDO 402-935-7733 CA,59.99,Merchandise
3/28/20,3/28/20,PAYPAL *ORIGIN.COM 402-935-7733 CA,9.99,Travel/ Entertainment
3/29/20,3/29/20,PAYPAL *ORIGIN.COM 402-935-7733 CA,19.99,Travel/ Entertainment
3/31/20,3/31/20,PAYPAL *NINTENDO 402-935-7733 CA,7.99,Merchandise
4/1/20,4/1/20,RIOTGAM*LOL LN0N99ZPA8 866-373-9211 CALN0N99ZPA8XH,10.89,Merchandise
4/3/20,4/3/20,PAYPAL *ORIGIN.COM 402-935-7733 CA,4.99,Travel/ Entertainment
4/4/20,4/4/20,PAYPAL *ORIGIN.COM 402-935-7733 CA,9.99,Travel/ Entertainment
4/12/20,4/12/20,PAYPAL *STEAM GAMES 402-935-7733 CA,18.51,Merchandise
4/13/20,4/13/20,PAYPAL *STEAM GAMES 402-935-7733 CA,0.99,Merchandise
4/14/20,4/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-248.47,Payments and Credits
4/14/20,4/14/20,PAYPAL *STEAM GAMES 402-935-7733 CA,5,Merchandise
4/20/20,4/20/20,PP*PADDLE.COM 402-935-7733 CA,12,Merchandise
4/21/20,4/21/20,CHEGG ORDER 844-224-5952 CAAPPLE PAY ENDING IN 0296,14.95,Merchandise
4/24/20,4/24/20,RIOTGAM*LOL LN0YPXVMHG 866-373-9211 CALN0YPXVMHG2D,10.89,Merchandise
5/2/20,5/2/20,RIOTGAM*LOL LN0KMBG09K 866-373-9211 CALN0KMBG09K9D,10.89,Merchandise
5/3/20,5/4/20,DOORDASH*EZELLS FAMOUS 6506819470 CAAPPLE PAY ENDING IN 0296,-0.02,Payments and Credits
5/12/20,5/12/20,PAYPAL *ORIGIN.COM 402-935-7733 CA,9.99,Travel/ Entertainment
5/14/20,5/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-182.79,Payments and Credits
5/17/20,5/17/20,PAYPAL *MALLARD EBAY MA 402-935-7733 CA,26.11,Merchandise
5/22/20,5/22/20,PAYPAL *STEAM GAMES 402-935-7733 CA,17.48,Merchandise
5/22/20,5/22/20,PAYPAL *TRUSCRAFT SHOPP 402-935-7733 CA,12.5,Merchandise
5/23/20,5/23/20,PAYPAL *TRUSCRAFT SHOPP 402-935-7733 CA,12.5,Merchandise
5/26/20,5/26/20,PAYPAL *STEAM GAMES 402-935-7733 CA,4.99,Merchandise
5/28/20,5/28/20,PAYPAL *ILOVETOGOLF EBA 402-935-7733 CA,46.81,Merchandise
5/29/20,5/29/20,PAYPAL *GOLFCHOTZKI EBA 402-935-7733 CA,17.09,Merchandise
5/29/20,5/29/20,PAYPAL *PACSUN 402-935-7733 CA,28.27,Merchandise
5/30/20,5/31/20,PAYPAL *MALLARD EBAY MA 4029357733 CA,-26.11,Payments and Credits
6/11/20,6/11/20,RIOTGAM*LOL LN0R907A10 866-373-9211 CALN0R907A10XY,21.78,Merchandise
6/14/20,6/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-84.81,Payments and Credits
6/16/20,6/16/20,RIOTGAM*LOL LN0FDXBQQZ 866-373-9211 CALN0FDXBQQZ5P,10.89,Merchandise
6/19/20,6/20/20,PAYPAL *LOSTGOLFBAL EBA 402-935-7733 CA,54.45,Merchandise
6/19/20,6/21/20,PAYPAL *ILOVETOGOLF EBA 4029357733 CA,-46.81,Payments and Credits
6/23/20,6/23/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 0296TD327891-1592923223,1.6,Restaurants
6/24/20,6/24/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1592988026,1.6,Restaurants
6/25/20,6/25/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 0296TD327891-1593074422,1.6,Restaurants
6/29/20,6/29/20,PAYPAL *LIDS.COM 402-935-7733 CA,25.06,Merchandise
6/30/20,6/30/20,PAYPAL *INTO THE AM 402-935-7733 CA,18.95,Merchandise
7/1/20,7/1/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1593614419,3.2,Restaurants
7/2/20,7/2/20,PAYPAL *PATAGONIA 402-935-7733 CA,38.12,Merchandise
7/2/20,7/2/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1593700820,3.2,Restaurants
7/3/20,7/3/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1593787224,3.2,Restaurants
7/6/20,7/6/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1594025095,2.35,Restaurants
7/7/20,7/7/20,PAYPAL *STEAM GAMES 402-935-7733 CA,11.24,Merchandise
7/8/20,7/8/20,PAYPAL *APPLE INC 402-935-7733 CA,271.16,Merchandise
7/8/20,7/8/20,RIOT* AN0P7Y2HM577 866-373-9211 CAAN0P7Y2HM577,21.77,Merchandise
7/8/20,7/8/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1594197804,2.35,Restaurants
7/9/20,7/9/20,AMZN MKTP US*MJ46S1BY0 AMZN.COM/BILLWA1PSWMMBAZFH,15.24,Merchandise
7/9/20,7/9/20,LOAF N JUG 47 EAGLE CO,10.09,Gasoline
7/9/20,7/9/20,TACO BELL#22348 EAGLE CO,7.48,Restaurants
7/9/20,7/9/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1594284203,2.35,Restaurants
7/10/20,7/10/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1594392020,3.2,Restaurants
7/12/20,7/12/20,AMAZON.COM*MJ2ZR97W0 AMZN.COM/BILLWA70PTGDKYISM,67.03,Merchandise
7/14/20,7/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-146.2,Payments and Credits
7/14/20,7/14/20,PAYPAL *47 402-935-7733 CA,40.13,Merchandise
7/18/20,7/18/20,CITY-MARKET #0434 EAGLE CO,2.17,Supermarkets
7/21/20,7/21/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1595321004,2.35,Restaurants
7/22/20,7/22/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1595407403,2.35,Restaurants
7/23/20,7/23/20,CITY-MARKET #0434 EAGLE CO,18.99,Supermarkets
7/23/20,7/23/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1595493804,2.35,Restaurants
7/24/20,7/24/20,LOAF N JUG 47 EAGLE CO,2.71,Gasoline
7/24/20,7/24/20,WENDY'S 8827 EAGLE CO,4.45,Restaurants
7/27/20,7/27/20,PAYPAL *PATAGONIA 402-935-7733 CA,59.9,Merchandise
7/28/20,7/28/20,EAGLE SINCLAIR EAGLE CO,3.59,Gasoline
7/29/20,7/29/20,AMZN MKTP US*MV90H6IM0 AMZN.COM/BILLWA5DJG9SVT7D4,14.15,Merchandise
7/31/20,7/31/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327891-1596206420,3.2,Restaurants
8/1/20,8/1/20,INTERNET PAYMENT - THANK YOU,-467.76,Payments and Credits
8/1/20,8/1/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,5.45,Travel/ Entertainment
8/2/20,8/2/20,SP * 47 7813201384 MAAPPLE PAY ENDING IN 0296,34.99,Merchandise
8/3/20,8/3/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 1786TD327892-1596444295,2.35,Restaurants
8/4/20,8/4/20,USA*ALPINE VENDING GYPSUM COAPPLE PAY ENDING IN 0296TD327892-1596530605,2.35,Restaurants
8/5/20,8/5/20,QDOBA 2700 VAIL CO00530R,25.8,Restaurants
8/7/20,8/7/20,SUNDAE EDWARDS EDWARDS CO,17.34,Restaurants
8/8/20,8/8/20,SUNDAE EDWARDS EDWARDS CO,7.27,Restaurants
8/9/20,8/9/20,MOES ORIGINAL BBQ EAGLE EAGLE CO,14.71,Restaurants
8/9/20,8/9/20,QDOBA 2700 VAIL CO00972R,13.28,Restaurants
8/10/20,8/10/20,CITY-MARKET #0434 EAGLE CO,18.86,Supermarkets
8/10/20,8/10/20,SP * RED BULL SHOP US 8003780164 CAAPPLE PAY ENDING IN 0296,80.79,Merchandise
8/11/20,8/11/20,STOP N SAVE 18 EDWARDS CO,10.23,Gasoline
8/11/20,8/11/20,SUNDAE EDWARDS EDWARDS CO,11.8,Restaurants
8/14/20,8/14/20,12078 VAIL MENS POP UP VAIL CO01438R,169.1,Merchandise
8/14/20,8/14/20,DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW,-92.97,Payments and Credits
8/14/20,8/14/20,PAYPAL *STEAM GAMES 888-221-1161 CA,10.1,Merchandise
8/14/20,8/14/20,SUNDAE EDWARDS EDWARDS CO,5.69,Restaurants
8/15/20,8/15/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,10.89,Travel/ Entertainment
8/17/20,8/17/20,SUNDAE EDWARDS EDWARDS CO,4.69,Restaurants
8/18/20,8/20/20,PAYPAL *STEAM GAMES 888-221-1161 CA,4.99,Merchandise
8/19/20,8/20/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,10.89,Travel/ Entertainment
8/21/20,8/21/20,CRAFTSMAN EDWARDS CO,19.74,Restaurants
8/21/20,8/21/20,PAYPAL *RIOTGAMESIN 402-935-7733 CA,10.89,Travel/ Entertainment
8/21/20,8/21/20,SUNDAE EDWARDS EDWARDS CO,7.27,Restaurants
8/22/20,8/22/20,DAYLIGHT DONUTS BRECKENRIDGE CO,13.39,Restaurants
8/23/20,8/23/20,SUNDAE EDWARDS EDWARDS CO,5.69,Restaurants
8/24/20,8/24/20,CRAFTSMAN EDWARDS CO,17.28,Restaurants
8/24/20,8/24/20,SUNDAE EDWARDS EDWARDS CO,7.27,Restaurants
8/25/20,8/25/20,SUNDAE EDWARDS EDWARDS CO,2,Restaurants
8/26/20,8/26/20,INTERNET PAYMENT - THANK YOU,-500,Payments and Credits
8/28/20,8/28/20,SUNDAE EDWARDS EDWARDS CO,7.27,Restaurants
8/28/20,8/28/20,SUNDAE EDWARDS EDWARDS CO,8.51,Restaurants
8/29/20,8/29/20,PAYPAL *ANLEY INC 888-221-1161 CA,18.94,Merchandise
8/30/20,8/30/20,5GUYS 1413 QSR SPOKANE WA,11.98,Restaurants
8/30/20,8/30/20,FRED-MEYER #0657 SPOKANE WA,62.03,Supermarkets
8/30/20,8/30/20,OLIVE GARDE00018515140 SPOKANE WAAPPLE PAY ENDING IN 1786,25.84,Restaurants
8/30/20,8/30/20,ZAG SHOPGONZGA UNIT #129 800-381-5151 ILZAG SHOPGONZGA UNIT #129,28.31,Merchandise
8/31/20,8/31/20,AMZN MKTP US*MU65C5XZ1 AMZN.COM/BILLWA6GIUPFAG5K6,155.71,Merchandise
8/31/20,8/31/20,AMZN MKTP US*MU9EK8GB1 AMZN.COM/BILLWA6UUONUIQR0I,8.24,Merchandise
8/31/20,8/31/20,MICROSOFT XBOX REDMOND WA,59.99,Services
8/31/20,8/31/20,ZAG SHOPGONZGA UNIT #129 800-381-5151 ILZAG SHOPGONZGA UNIT #129,21.78,Merchandise
9/1/20,9/1/20,AMAZON.COM*MU9GJ9XO1 AMZN.COM/BILLWA2RV9LP31SVK,13.86,Merchandise
9/1/20,9/1/20,SUBWAY 54361 SPOKANE WAAPPLE PAY ENDING IN 1786,5.48,Restaurants
9/4/20,9/4/20,AMZN MKTP US*MU8PB9Q11 AMZN.COM/BILLWA103HBOFY91X,29.94,Merchandise
9/4/20,9/4/20,MICROSOFT XBOX REDMOND WA,24.99,Services
9/4/20,9/4/20,TARGET SPOKANE WAAPPLE PAY ENDING IN 1786,14.2,Supermarkets
9/4/20,9/4/20,ZAG SHOPGONZGA UNIT #129 800-381-5151 ILZAG SHOPGONZGA UNIT #129,13.48,Merchandise
9/5/20,9/5/20,ZYBOOK COLLEGE TXTBOOK 4086349926 CA,29,Services
9/6/20,9/6/20,SHIP STICKS 561-429-3900 FL,74.98,Services
9/7/20,9/7/20,BONEFISH GRILL SPOKANE SPOKANE WA00714R,35.93,Restaurants
9/7/20,9/7/20,GONZAGA U - CASHNET 509-3136376 WA,5.44,Education
9/8/20,9/8/20,PAYPAL *CHINATOWN 888-221-1161 CA,85,Merchandise
9/11/20,9/11/20,MAVERIK #613 SPOKANE WA,4.21,Gasoline
9/11/20,9/11/20,WINGSTOP - 0728 SPOKANE WA,68.65,Restaurants
